2025-11-21 21:52:25 | INFO     | tovarishbot | 🚀 Логирование настроено. Файл: logs\tovarishbot_20251121.log
2025-11-21 21:52:27 | INFO     | tovarishbot | 🚀 Логирование настроено. Файл: logs\tovarishbot_20251121.log
2025-11-21 21:52:27 | INFO     | app.startup | 🚀 Starting ТоварищБот API...
2025-11-21 21:52:27 | INFO     | app.services.telegram_validator | Telegram validator initialized
2025-11-21 21:52:27 | INFO     | app.services.telegram_validator | Telegram validator initialized globally
2025-11-21 21:52:27 | INFO     | app.startup | ✅ Telegram validator initialized successfully
2025-11-21 21:52:27 | INFO     | app.startup | 📁 Upload directory ready: uploads
2025-11-21 21:52:27 | INFO     | app.database | Database tables created successfully
2025-11-21 21:52:27 | INFO     | app.startup | ✅ Database initialized successfully
2025-11-21 21:52:27 | INFO     | app.services.ai.ai_service | AIService initialized with model: gpt-4o
2025-11-21 21:52:27 | INFO     | app.services.ai.audio_processor | FFmpeg is available
2025-11-21 21:52:27 | INFO     | app.services.ai.ai_service | All processors initialized successfully
2025-11-21 21:52:27 | INFO     | app.services.ai.ai_service | AIService instance created successfully
2025-11-21 21:52:27 | INFO     | app.services.ai.ai_service | Performing health check...
2025-11-21 21:52:29 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-21 21:52:29 | INFO     | app.services.ai.ai_service | Health check passed
2025-11-21 21:52:29 | INFO     | app.startup | ✅ AI service is healthy
2025-11-21 21:52:29 | INFO     | app.services.image_service | ✅ Image directories created: uploads\generated-images
2025-11-21 21:52:29 | INFO     | app.startup | ✅ ImageService initialized
2025-11-21 21:52:29 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-11-21 21:52:29 | INFO     | apscheduler.scheduler | Added job "Clean up old generated images" to job store "default"
2025-11-21 21:52:29 | INFO     | apscheduler.scheduler | Scheduler started
2025-11-21 21:52:29 | INFO     | app.tasks.image_cleanup_task | ✅ Image cleanup scheduler started
   Schedule: Daily at 03:00
   Cleanup threshold: >30 days
2025-11-21 21:52:29 | INFO     | app.startup | ✅ Image cleanup scheduler started
2025-11-21 21:52:29 | INFO     | app.startup | 🎯 Environment: development
2025-11-21 21:52:29 | INFO     | app.startup | ✅ Application startup completed successfully
2025-11-21 21:52:29 | INFO     | app.startup | 🔐 Security features enabled:
2025-11-21 21:52:29 | INFO     | app.startup |    - Telegram HMAC-SHA256 validation
2025-11-21 21:52:29 | INFO     | app.startup |    - JWT token authentication
2025-11-21 21:52:29 | INFO     | app.startup |    - CORS protection
2025-11-21 21:52:29 | INFO     | app.startup |    - Request rate limiting
2025-11-21 21:52:36 | INFO     | watchfiles.main | 1 change detected
2025-11-21 21:52:43 | INFO     | watchfiles.main | 1 change detected
2025-11-21 21:54:03 | INFO     | watchfiles.main | 1 change detected
2025-11-21 21:54:23 | INFO     | watchfiles.main | 1 change detected
2025-11-21 21:54:37 | INFO     | app.services.image_service | ✅ Image directories created: uploads\generated-images
2025-11-21 21:54:37 | INFO     | tovarishbot | 🔐 Starting secure Telegram authentication
2025-11-21 21:54:37 | INFO     | app.services.telegram_validator | Starting Telegram initData validation
2025-11-21 21:54:37 | INFO     | app.services.telegram_validator | ✅ HMAC signature verified successfully
2025-11-21 21:54:37 | INFO     | app.services.telegram_validator | ✅ Successfully validated Telegram user: 1849285548
